experiment,fusion_strategy,decision_fusion,decision_alpha,loss,use_class_weights,use_weighted_sampler,threat_intel_dir,threat_intel_entries,batch_size,num_workers,precision,epochs_completed,best_epoch,best_val_loss,train_seconds,eval_seconds,dl_accuracy,dl_balanced_accuracy,dl_f1,dl_f1_macro,fused_accuracy,fused_balanced_accuracy,fused_f1,fused_f1_macro
exp01_baseline_cross_attention,cross_attention,weighted_average,0.8,cross_entropy,False,False,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,15,15,0.07287655745352958,190.96,15.52,0.965310246834167,0.6309896344157498,0.9598957530198634,0.6544463979058172,0.96531264701082,0.6309972150547978,0.9598981080867354,0.6544503787542226
exp02_class_weight_ce,cross_attention,weighted_average,0.8,cross_entropy,True,False,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,15,13,0.3844850581370863,186.47,15.65,0.7878891886442843,0.8220369614967408,0.8509835292276373,0.5208643559938163,0.7878627867011012,0.8220326606316805,0.8509664491679735,0.5208615684200583
exp03_focal_class_weight,cross_attention,weighted_average,0.8,focal,True,False,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,13,8,0.3090718144489604,161.6,15.72,0.7698398602137118,0.8193119514376194,0.8385692098041158,0.5151773330934791,0.7697126508511026,0.8192912290877832,0.8384854297051663,0.5151364163485105
exp04_weighted_sampler_ce,cross_attention,weighted_average,0.8,cross_entropy,False,True,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,15,11,0.312807773770512,200.6,16.37,0.8994445991224954,0.8404040874819498,0.9194593600016046,0.5462687738578443,0.8994397987691894,0.8404033055064841,0.9194566580453618,0.5462544982296639
exp05_ablation_concat_no_attention,concat,weighted_average,0.8,cross_entropy,False,False,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,15,15,0.07220673839555684,175.71,15.55,0.965346249483962,0.7024746200424337,0.9599547909901341,0.7478094755595587,0.965346249483962,0.7024746200424337,0.9599547909901341,0.7478094755595587
exp06_ablation_traffic_only,traffic_only,weighted_average,0.8,cross_entropy,False,False,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,15,10,0.07305976541010469,179.16,15.44,0.9648134102669956,0.5916182811772907,0.959334997340508,0.6317682834071751,0.9648134102669956,0.5915774192450067,0.9593350255104057,0.6316670212487863
exp07_tuned_concat_weighted_sampler,concat,weighted_average,0.8,cross_entropy,False,True,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,9,4,0.367022682591279,115.24,15.59,0.8090299446039229,0.8258832917968102,0.8654173495402405,0.5662027711162128,0.8090299446039229,0.8258832917968102,0.8654173495402405,0.5662027711162128
exp08_ablation_log_only,log_only,weighted_average,0.8,cross_entropy,False,False,/root/bishe/cc-bishe/data/threat_intel,11,32768,8,bf16,15,14,0.13948519155907968,178.74,15.67,0.942215747078985,0.5458394334620928,0.9336576986357077,0.597662557644367,0.942215747078985,0.5458394334620928,0.9336576986357077,0.597662557644367
exp09_concat_synthintel_weighted_alpha07,concat,weighted_average,0.7,cross_entropy,False,False,/root/autodl-tmp/cc-bishe-threat-intel/synthetic_train_v1,78,32768,8,bf16,15,15,0.07220673839555684,181.49,14.14,0.965346249483962,0.7024746200424337,0.9599547909901341,0.7478094755595587,0.965346249483962,0.7024746200424337,0.9599547909901341,0.7478094755595587
exp10_concat_synthintel_soft_voting,concat,soft_voting,0.5,cross_entropy,False,False,/root/autodl-tmp/cc-bishe-threat-intel/synthetic_train_v1,78,32768,8,bf16,15,15,0.07220673839555684,182.19,14.44,0.965346249483962,0.7024746200424337,0.9599547909901341,0.7478094755595587,0.9994023560134025,0.7738443330996034,0.9993878958095509,0.79804554083986
exp11_weighted_sampler_synthintel_alpha07,cross_attention,weighted_average,0.7,cross_entropy,False,True,/root/autodl-tmp/cc-bishe-threat-intel/synthetic_train_v1,78,32768,8,bf16,15,11,0.312807773770512,198.21,14.47,0.8994445991224954,0.8404040874819498,0.9194593600016046,0.5462687738578443,0.8995046035388204,0.8881106078856487,0.9194831363465152,0.5523339762775211
